city,country,date,lat,long,temp,humidity,windSpeed,weather,cloudiness
gorontalo,ID,1570343727,0.54,123.06,84.44,68,11.16,Rain,0
nova cruz,BR,1570343756,-6.48,-35.43,77.0,83,9.17,Clouds,40
maple valley,US,1570343756,47.37,-122.04,47.5,81,3.0,Clouds,40
anito,PH,1570343756,12.45,125.29,87.05,62,7.9,Clouds,57
sonoita,US,1570343756,31.68,-110.66,66.51,48,8.05,Clear,1
engis,BE,1570343757,50.58,5.4,48.2,93,8.05,Rain,75
pisco,PE,1570343757,-13.71,-76.2,61.72,82,3.36,Smoke,90
amatan,MX,1570343757,17.37,-92.82,72.26,93,4.36,Clouds,90
comodoro rivadavia,AR,1570343757,-45.87,-67.48,44.6,75,2.24,Clear,0
arona,IT,1570343757,45.76,8.56,52.57,100,6.93,Mist,4
springfield,US,1570343715,42.1,-72.59,38.41,78,3.15,Clouds,75
belgrade,RS,1570343758,44.82,20.46,50.0,81,14.99,Clouds,75
roberval,CA,1570343758,48.51,-72.22,36.75,77,9.17,Clear,5
akoupe,CI,1570343758,6.39,-3.9,69.52,99,1.77,Clouds,79
zeerust,ZA,1570343758,-25.54,26.07,77.0,25,13.87,Clear,0
mul,IN,1570343759,20.07,79.68,88.71,65,1.5,Clear,5
quatre cocos,MU,1570343759,-20.21,57.76,79.21,65,9.17,Clouds,75
sampit,ID,1570343759,-2.54,112.95,87.92,57,5.84,Rain,71
maniitsoq,GL,1570343759,65.42,-52.9,35.52,75,32.37,Clouds,45
shelbyville,US,1570343759,39.41,-88.79,61.59,82,10.29,Clouds,40
poddorye,RU,1570343760,57.47,31.12,33.2,88,4.61,Clouds,65
dudinka,RU,1570343760,69.41,86.18,35.6,69,11.18,Clouds,75
montmagny,FR,1570343760,48.97,2.34,56.19,87,8.05,Rain,97
tashtyp,RU,1570343760,52.8,89.89,56.85,49,6.21,Clouds,96
tabory,PL,1570343760,53.89,19.53,35.13,89,0.67,Clear,1
amboasary,MG,1570343761,-25.04,46.38,75.2,83,20.8,Clouds,40
almaznyy,RU,1570343761,48.03,40.04,59.0,82,17.9,Clouds,40
san vicente,EC,1570343761,-0.59,-80.41,72.27,86,12.44,Clouds,96
port-gentil,GA,1570343761,-0.72,8.78,78.8,88,8.05,Clouds,75
bubaque,GW,1570343762,11.28,-15.83,81.45,77,8.93,Clouds,98
guerrero negro,MX,1570343762,27.97,-114.04,69.38,75,12.86,Clear,0
pakaur,IN,1570343583,24.64,87.92,88.13,59,5.91,Clear,6
hami,CN,1570343762,42.84,93.51,67.52,15,3.15,Clear,5
acapulco,MX,1570343763,16.86,-99.88,80.6,88,3.36,Clouds,40
chitral,PK,1570343763,35.85,71.79,36.13,37,7.56,Clouds,23
straumen,NO,1570343763,63.87,11.3,29.37,79,9.17,Clear,0
bandarbeyla,SO,1570343763,9.49,50.81,84.26,56,13.65,Clouds,40
rozkishne,UA,1570343763,48.5,37.59,51.59,75,12.29,Clouds,100
port blair,IN,1570343764,11.67,92.75,87.8,66,4.7,Clouds,40
traverse city,US,1570343764,44.76,-85.62,53.64,87,8.05,Rain,90
kruisfontein,ZA,1570343764,-34.0,24.73,60.23,77,18.88,Clouds,32
viedma,AR,1570343764,-40.81,-62.99,46.28,56,15.24,Clouds,62
mackenzie,CA,1570343765,55.34,-123.09,44.6,88,8.05,Clouds,90
bambous virieux,MU,1570343765,-20.34,57.76,79.14,65,9.17,Clouds,75
esna,RO,1570343765,45.2,27.57,48.2,87,9.17,Clouds,75
saint-pierre,FR,1570343765,48.95,4.24,55.47,100,10.29,Clouds,90
chepareria,KE,1570343765,1.32,35.2,72.56,61,0.76,Clear,2
vila do maio,CV,1570343766,15.13,-23.22,78.8,78,10.29,Clouds,20
belaya gora,RU,1570343766,68.54,146.19,26.68,70,6.53,Clouds,98
sinegorye,RU,1570343766,62.09,150.53,11.79,89,1.16,Clouds,30
avera,US,1570343766,33.19,-82.53,65.59,82,8.05,Clouds,90
awbari,LY,1570343766,26.59,12.77,69.63,30,6.55,Clear,5
am timan,TD,1570343767,11.04,20.28,72.76,91,2.01,Clouds,100
mayo,CA,1570343767,63.59,-135.9,26.6,79,6.93,Clouds,90
paoua,CF,1570343767,7.24,16.43,70.04,97,1.57,Rain,100
monteagudo,BO,1570343767,-19.8,-63.96,50.85,92,6.33,Rain,100
lagoa,PT,1570343768,37.14,-8.45,60.64,59,8.05,Clear,0
touros,BR,1570343768,-5.2,-35.46,71.6,88,3.36,Clouds,40
kartaly,RU,1570343768,53.05,60.64,55.84,32,5.68,Clear,0
traipu,BR,1570343768,-9.97,-37.0,65.74,95,2.95,Clear,0
aksu,KZ,1570343769,52.04,76.93,68.0,42,2.24,Clear,0
manitouwadge,CA,1570343769,49.12,-85.84,49.52,92,16.26,Rain,100
itoman,JP,1570343769,26.12,127.67,84.96,69,9.17,Clouds,75
roald,NO,1570343769,62.58,6.12,33.17,58,10.29,Clear,0
northam,AU,1570343770,-31.65,116.67,69.8,46,4.7,Clouds,75
kysyl-syr,RU,1570343770,63.9,122.77,31.29,92,12.15,Clouds,100
tatarka,BY,1570343770,53.25,28.82,36.96,80,11.19,Clouds,98
bintulu,MY,1570343770,3.17,113.03,87.31,74,10.29,Clouds,75
los mochis,MX,1570343770,25.79,-108.99,79.05,92,2.77,Clear,0
disraeli,CA,1570343771,45.9,-71.36,30.42,100,3.36,Clear,1
glasgow,GB,1570343771,55.86,-4.24,48.76,93,10.29,Rain,100
ostrovnoy,RU,1570343771,68.05,39.51,32.64,83,8.48,Snow,96
azoyu,MX,1570343771,16.72,-98.73,67.29,97,1.41,Rain,100
karratha,AU,1570343772,-20.74,116.85,98.19,13,15.88,Clear,0
rawson,AR,1570343772,-43.3,-65.11,52.46,58,9.74,Clear,6
rio tuba,PH,1570343772,8.51,117.43,84.15,66,4.85,Clouds,59
petatlan,MX,1570343772,17.52,-101.27,80.84,78,5.91,Clear,0
yarada,IN,1570343773,17.65,83.27,89.6,62,6.93,Haze,20
kitgum,UG,1570343773,3.3,32.88,74.67,78,0.59,Rain,82
vanimo,PG,1570343773,-2.67,141.3,84.64,64,6.62,Clouds,63
aswan,EG,1570343773,24.09,32.9,84.2,17,8.05,Clear,0
pochutla,MX,1570343774,15.74,-96.47,73.99,93,3.09,Rain,100
nome,US,1570343774,30.04,-94.42,74.39,94,3.38,Mist,1
camacha,PT,1570343774,33.08,-16.33,70.83,77,10.29,Clouds,40
telsiai,LT,1570343774,55.98,22.25,32.84,91,4.5,Clouds,55
akita,JP,1570343774,39.72,140.1,67.01,56,10.29,Clouds,20
port hardy,CA,1570343775,50.7,-127.42,42.8,93,1.39,Clouds,20
puerto rico,CO,1570343775,1.91,-75.15,56.0,95,2.08,Clouds,62
sinnamary,GF,1570343775,5.38,-52.96,81.47,79,12.71,Clear,0
pangody,RU,1570343527,65.85,74.49,47.72,93,19.53,Rain,100
tazovskiy,RU,1570343775,67.47,78.7,35.72,94,27.58,Rain,100
naifaru,MV,1570343776,5.44,73.37,82.05,72,2.24,Rain,66
hithadhoo,MV,1570343776,-0.6,73.08,81.54,78,16.17,Rain,79
warren,US,1570343626,42.48,-83.03,57.81,77,9.17,Rain,75
blackwater,GB,1570343776,51.33,-0.78,55.13,93,9.17,Rain,84
elko,US,1570343776,40.83,-115.76,40.53,48,4.7,Clear,1
port macquarie,AU,1570343777,-31.43,152.91,71.11,56,17.22,Clouds,94
ust-maya,RU,1570343777,60.42,134.54,37.19,59,6.17,Clouds,77
shache,CN,1570343777,38.42,77.24,68.48,30,8.1,Clouds,98
leeton,AU,1570343777,-34.55,146.4,92.07,20,21.92,Clouds,53
great yarmouth,GB,1570343777,52.61,1.73,54.03,93,10.29,Rain,75
mizdah,LY,1570343778,31.45,12.98,60.63,70,3.58,Clear,0
carutapera,BR,1570343778,-1.2,-46.02,80.41,81,13.4,Clear,6
jamame,SO,1570343778,0.07,42.75,87.05,54,11.48,Clouds,13
clyde river,CA,1570343778,70.47,-68.59,28.4,74,12.75,Clear,1
saint-joseph,FR,1570343779,43.56,6.97,55.74,81,4.7,Clear,0
paramonga,PE,1570343779,-10.68,-77.82,59.01,95,10.6,Clouds,96
arlit,NE,1570343779,18.74,7.39,87.14,14,8.19,Clouds,23
challans,FR,1570343779,46.85,-1.88,58.51,93,9.17,Drizzle,90
kargasok,RU,1570343779,59.06,80.87,57.66,80,10.92,Clouds,72
mahajanga,MG,1570343780,-15.72,46.32,89.6,40,12.75,Clouds,20
monte alegre,BR,1570343780,-2.0,-54.07,77.37,79,2.59,Clouds,16
vila,IT,1570343780,45.18,8.4,51.93,100,6.93,Mist,1
cayenne,GF,1570343780,4.94,-52.33,73.4,94,4.0,Clear,0
sambava,MG,1570343781,-14.27,50.17,79.26,65,6.04,Rain,21
pitanga,BR,1570343781,-24.76,-51.76,63.11,96,4.61,Rain,100
carauari,BR,1570343781,-4.88,-66.9,73.82,83,1.1,Clouds,24
san rafael,AR,1570343781,-34.61,-68.33,51.14,20,6.78,Clear,0
yenagoa,NG,1570343781,4.92,6.26,74.11,97,4.04,Clouds,77
sao felix do xingu,BR,1570343782,-6.64,-51.99,70.37,96,1.79,Clear,7
srednekolymsk,RU,1570343782,67.46,153.71,21.01,86,6.67,Clear,0
raudeberg,NO,1570343782,61.99,5.14,40.57,75,9.17,Clear,0
sao filipe,CV,1570343782,14.9,-24.5,77.24,82,13.13,Clouds,79
nouadhibou,MR,1570343783,20.93,-17.03,66.2,88,9.17,Clear,0
swellendam,ZA,1570343783,-34.02,20.44,59.0,62,4.7,Clouds,95
mazagao,BR,1570343783,-0.12,-51.29,78.8,100,3.36,Clouds,40
araguaina,BR,1570343783,-7.19,-48.21,74.56,82,0.16,Clouds,74
ust-tsilma,RU,1570343783,65.44,52.15,32.48,92,7.32,Snow,92
najran,SA,1570343784,17.54,44.22,87.8,19,4.7,Clouds,40
natal,BR,1570343547,-5.81,-35.21,75.0,88,3.36,Clouds,40
port hawkesbury,CA,1570343784,45.62,-61.36,39.94,86,2.24,Clear,1
aykhal,RU,1570343784,65.95,111.51,28.4,92,6.71,Snow,90
novikovo,RU,1570343784,51.15,37.89,42.43,89,16.04,Rain,100
sao joao da barra,BR,1570343785,-21.64,-41.05,66.64,94,1.9,Clear,0
ozinki,RU,1570343785,51.2,49.73,60.03,27,18.05,Clouds,98
caravelas,BR,1570343785,-17.73,-39.27,71.81,87,6.85,Rain,0
tsiroanomandidy,MG,1570343785,-18.77,46.05,77.15,42,8.79,Clouds,64
takoradi,GH,1570343785,4.89,-1.75,72.54,97,3.94,Clouds,57
winslow,GB,1570343786,51.94,-0.88,54.82,100,6.93,Rain,84
malindi,KE,1570343786,-3.22,40.12,80.6,88,10.49,Clouds,75
kostino,BG,1570343786,41.7,25.3,58.3,81,8.05,Clouds,88
merauke,ID,1570343786,-8.49,140.4,78.84,83,24.27,Clouds,43
coquimbo,CL,1570343787,-29.95,-71.34,50.61,87,10.29,Clear,0
bay roberts,CA,1570343787,47.58,-53.28,38.03,81,16.11,Clear,5
guiren,TW,1570343787,22.97,120.29,84.74,62,9.17,Clouds,75
onega,RU,1570343787,63.91,38.09,37.93,76,10.71,Clouds,84
deputatskiy,RU,1570343787,69.3,139.9,13.99,80,0.96,Clouds,100
buluang,PH,1570343788,10.47,123.98,89.6,62,9.17,Clouds,20
antofagasta,CL,1570343788,-23.65,-70.4,55.4,76,8.05,Clouds,90
seoul,KR,1570343759,37.57,126.98,70.52,46,3.36,Clouds,75
port moresby,PG,1570343788,-9.47,147.16,80.6,88,17.22,Clouds,40
imbituba,BR,1570343789,-28.24,-48.67,64.4,82,10.29,Clouds,75
flin flon,CA,1570343789,54.77,-101.88,41.12,95,9.51,Clouds,56
volosovo,RU,1570343789,59.45,29.48,34.2,87,4.47,Clouds,20
zemio,CF,1570343789,5.02,25.13,70.4,95,3.27,Clouds,100
ballarat,AU,1570343789,-37.56,143.86,62.71,59,1.01,Rain,94
mayuge,UG,1570343790,0.46,33.48,72.96,76,4.65,Rain,100
codrington,AU,1570343790,-28.95,153.24,72.36,56,16.11,Clouds,44
luangwa,MZ,1570343790,-15.62,30.4,81.81,46,11.65,Clear,3
keetmanshoop,NA,1570343790,-26.57,18.15,64.4,42,1.12,Clouds,63
soure,PT,1570343790,40.06,-8.63,50.95,100,1.12,Clouds,20
silver city,US,1570343791,32.77,-108.28,53.47,76,9.17,Clouds,40
waipawa,NZ,1570343791,-39.94,176.59,48.0,75,4.0,Clouds,99
kloulklubed,PW,1570343791,7.04,134.26,82.4,78,4.7,Clouds,75
nargana,PA,1570343792,9.44,-78.59,78.92,84,7.96,Rain,98
bol,TD,1570343792,13.47,14.72,79.67,77,3.58,Clouds,77
ambon,FR,1570343792,47.55,-2.56,55.56,93,6.93,Clear,0
mehamn,NO,1570343792,71.03,27.85,39.84,88,20.49,Rain,100
meiganga,CM,1570343792,6.52,14.29,66.23,96,1.66,Rain,100
finschhafen,PG,1570343793,-6.6,147.85,69.74,96,3.36,Rain,94
kungurtug,RU,1570343793,50.6,97.53,42.92,56,5.19,Clouds,80
huangzhou,CN,1570343793,30.44,114.88,79.02,51,0.92,Clouds,36
manado,ID,1570343525,1.49,124.85,91.4,55,5.82,Clouds,40
pangnirtung,CA,1570343794,66.15,-65.72,14.84,45,2.24,Clear,0
bokovskaya,RU,1570343794,49.23,41.83,64.8,75,15.37,Clouds,100
sur,OM,1570343794,22.57,59.53,88.53,49,13.65,Clear,0
tingo maria,PE,1570343794,-9.29,-76.01,56.74,90,4.35,Clouds,56
visby,SE,1570343794,57.64,18.3,37.96,86,3.36,Clouds,75
mnogovershinnyy,RU,1570343795,53.94,139.92,39.69,70,5.01,Clouds,19
christchurch,NZ,1570343795,-43.53,172.64,49.3,66,20.8,Clouds,17
sirjan,IR,1570343795,29.44,55.67,71.3,43,5.39,Clear,0
agadir,MA,1570343795,30.42,-9.58,60.8,63,15.48,Clear,0
boyolangu,ID,1570343796,-8.09,111.9,90.99,34,8.52,Clouds,41
patea,NZ,1570343796,-39.76,174.48,53.01,62,10.0,Clear,0
keffi,NG,1570343796,8.85,7.88,73.4,88,2.24,Clouds,40
gonen,IL,1570343796,33.12,35.65,77.31,73,3.36,Clouds,20
porto novo,BR,1570343797,-23.68,-45.44,68.0,82,6.93,Clouds,48
manjacaze,MZ,1570343797,-24.71,33.88,78.9,52,0.96,Clear,0
zhezkazgan,KZ,1570343797,47.8,67.71,60.8,15,8.95,Clear,0
cabedelo,BR,1570343797,-6.97,-34.84,71.6,94,5.82,Clear,0
padilla,CO,1570343798,3.23,-76.31,71.6,83,4.7,Clouds,40
taoudenni,ML,1570343798,22.68,-3.98,77.01,17,7.23,Clear,0
anadyr,RU,1570343798,64.73,177.51,28.18,74,13.42,Clear,0
daru,PG,1570343798,-9.07,143.21,79.98,78,13.04,Rain,76
bafra,TR,1570343799,41.57,35.91,68.0,82,4.7,Clouds,75
nantucket,US,1570343799,41.28,-70.1,42.17,86,8.03,Clear,1
pfaffikon,CH,1570343799,47.36,8.79,48.74,93,2.24,Clouds,90
esperance,AU,1570343799,-33.86,121.89,60.8,55,12.75,Clouds,90
amantea,IT,1570343799,39.13,16.07,62.58,100,4.7,Clouds,75
hit,IQ,1570343800,33.64,42.83,83.69,17,9.42,Clouds,31
auki,NG,1570343800,12.18,6.51,70.89,95,11.74,Rain,100
tessalit,ML,1570343800,20.2,1.01,80.91,17,5.68,Clouds,51
iralaya,HN,1570343800,15.0,-83.23,76.67,94,1.52,Clouds,100
fort nelson,CA,1570343800,58.81,-122.69,41.0,86,3.36,Clouds,75
sibu,MY,1570343801,2.29,111.83,84.07,74,2.24,Clouds,75
black river,JM,1570343801,18.03,-77.85,78.8,69,4.7,Clouds,20
kulhudhuffushi,MV,1570343801,6.62,73.07,82.89,71,5.46,Clouds,100
srandakan,ID,1570343801,-7.94,110.25,77.22,79,11.83,Clouds,18
sept-iles,CA,1570343802,50.2,-66.38,34.11,68,3.36,Clouds,20
goure,NE,1570343802,13.98,10.27,79.0,73,5.01,Clouds,94
chicama,PE,1570343802,-7.84,-79.15,60.8,87,8.05,Mist,90
mattru,SL,1570343802,7.62,-11.83,73.39,97,2.08,Rain,100
hearst,CA,1570343803,49.69,-83.67,46.93,90,13.98,Rain,100
loknya,RU,1570343803,54.21,39.24,37.99,99,7.0,Clouds,100
waddan,LY,1570343803,29.16,16.14,66.05,76,5.73,Clear,0
nioro,GM,1570343803,13.79,-15.05,76.4,89,3.06,Clouds,100
mukhen,RU,1570343803,48.19,136.14,54.53,52,13.24,Clear,0
lokosovo,RU,1570343804,61.13,74.84,55.32,71,18.95,Clouds,98
verkhnevilyuysk,RU,1570343804,63.45,120.31,35.07,97,6.38,Rain,100
luang prabang,LA,1570343804,19.89,102.14,89.6,52,3.02,Clouds,40
cap-chat,CA,1570343805,49.1,-66.68,33.63,77,4.05,Clear,9
tilichiki,RU,1570343805,60.47,166.1,32.64,59,8.75,Clouds,100
santa maria,BR,1570343805,-16.02,-48.01,67.8,83,4.7,Clouds,75
high level,CA,1570343805,58.52,-117.13,48.2,57,6.93,Clouds,75
nuuk,GL,1570343805,64.17,-51.74,33.8,86,8.05,Snow,79
glowno,PL,1570343806,51.96,19.72,37.56,80,6.93,Clear,0
manokwari,ID,1570343806,-0.87,134.08,77.85,85,0.83,Rain,48
puerto leguizamo,CO,1570343806,-0.19,-74.78,72.08,88,1.75,Rain,1
masterton,NZ,1570343806,-40.95,175.66,53.01,65,5.01,Clear,0
wanning,AT,1570343807,48.64,13.53,41.56,93,2.24,Clouds,40
casper,US,1570343807,42.87,-106.31,37.13,74,4.7,Clouds,20
baturaja,ID,1570343807,-4.12,104.17,97.53,24,6.3,Clouds,95
brae,GB,1570343807,60.4,-1.35,51.01,81,20.8,Clouds,98
ukiah,US,1570343589,39.15,-123.21,56.21,51,3.36,Clear,1
faya,SA,1570343808,18.39,42.45,77.11,25,4.7,Clear,0
ninghai,CN,1570343808,29.29,121.42,76.57,64,2.24,Clouds,40
watsa,CD,1570343808,3.04,29.53,70.38,89,1.79,Clouds,69
yumen,CN,1570343808,40.29,97.04,60.39,26,18.14,Clear,10
nizwa,OM,1570343778,22.93,57.53,76.9,57,5.79,Clear,0
douentza,ML,1570343809,15.01,-2.95,83.34,46,6.54,Clouds,78
seydisehir,TR,1570343809,37.42,31.85,56.43,70,6.46,Clouds,32
todos santos,MX,1570343809,23.45,-110.23,76.55,85,9.06,Clear,0
mayya,RU,1570343809,61.74,130.28,35.6,64,8.95,Clouds,40
tura,RU,1570343809,64.27,100.22,34.71,61,12.95,Clouds,95
omegna,IT,1570343810,45.88,8.41,51.84,100,6.93,Mist,0
solnechnyy,RU,1570343810,50.72,136.64,54.98,44,1.59,Clouds,72
nyurba,RU,1570343810,63.29,118.35,36.13,99,1.95,Rain,100
moses lake,US,1570343810,47.13,-119.28,48.61,50,4.7,Clear,1
nanakuli,US,1570343810,21.39,-158.15,77.07,88,6.93,Rain,1
severo-yeniseyskiy,RU,1570343811,60.37,93.04,36.67,70,5.71,Clouds,88
tres arroyos,AR,1570343811,-38.38,-60.28,40.23,86,7.34,Clouds,51
riverton,US,1570343530,43.02,-108.38,36.95,44,14.99,Clear,1
remanso,BR,1570343811,-9.62,-42.08,69.68,74,5.21,Clear,0
eltham,GB,1570343812,51.45,0.05,55.9,100,6.93,Rain,100
tigil,RU,1570343812,57.8,158.67,37.14,83,19.98,Clouds,100
la ronge,CA,1570343812,55.1,-105.3,44.6,87,13.87,Rain,90
yaan,NG,1570343812,7.38,8.57,73.05,97,2.24,Rain,100
bregovo,BG,1570343813,44.15,22.64,51.47,63,16.57,Clouds,33
sulangan,PH,1570343813,11.14,123.72,84.48,73,10.31,Clear,3
khandyga,RU,1570343813,62.65,135.58,31.11,44,4.7,Clear,0
salinas,US,1570343813,36.67,-121.66,58.17,33,2.47,Clear,1
puerto escondido,MX,1570343813,15.86,-97.07,75.86,92,4.43,Rain,97
hailar,CN,1570343670,49.2,119.7,55.86,33,21.43,Clouds,100
bolshaya glushitsa,RU,1570343814,50.24,43.59,60.01,90,5.99,Clouds,100
brooks,CA,1570343814,50.57,-111.89,37.0,74,7.0,Clouds,49
kokstad,ZA,1570343814,-30.55,29.42,75.1,15,4.31,Clear,0
ginda,IN,1570343814,30.69,78.49,86.0,55,3.36,Haze,20
jutai,BR,1570343815,-1.71,-47.89,71.59,99,1.7,Clear,7
kuala kedah,MY,1570343815,6.11,100.29,81.28,88,9.17,Thunderstorm,90
zambezi,ZM,1570343815,-13.55,23.12,79.71,36,10.2,Clear,6
